,carat,cut,color,clarity,depth,table,price,x,y,z,volume
0,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,38.20203
1,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,34.505856
2,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,38.076885
3,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,46.72458
4,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,51.917249999999996
5,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,38.693951999999996
6,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,38.830870000000004
7,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,42.321081
8,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,36.425214000000004
9,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,38.718
10,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,49.6587
11,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,37.70442
12,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,34.715136
13,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,51.515744999999995
14,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,32.262375
15,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,51.883728000000005
16,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,50.130472
17,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,48.99609000000001
18,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,48.833658
19,0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,47.818022
20,0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,49.64177999999999
21,0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,37.42816
22,0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,37.601784
23,0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,50.952974
24,0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,51.403212
25,0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,38.366477
26,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,38.635246
27,0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,49.13868
28,0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,37.73088
29,0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,38.236968000000005
30,0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,38.8492
31,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,39.693808
32,0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,38.525674
33,0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,39.07343999999999
34,0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,37.876608
35,0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,39.258576
36,0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,36.27393
37,0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,50.847224999999995
38,0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,43.295616
39,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,56.294722
40,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,55.563750000000006
41,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,56.385419999999996
42,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,41.863878
43,0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,43.703376000000006
44,0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,52.155950000000004
45,0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,47.865359999999995
46,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,52.105169999999994
47,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,53.280072000000004
48,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,40.9448
49,0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,49.954344000000006
50,0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,39.691469999999995
51,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,37.877340000000004
52,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,54.225920000000016
53,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,36.843357000000005
54,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,35.044548
55,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,48.967969999999994
56,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,50.64287399999999
57,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,48.5673
58,0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,50.10681600000001
59,0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,49.22775000000001
60,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,57.931307999999994
61,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,48.04518600000001
62,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,49.853232000000006
63,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,49.898920000000004
64,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,68.480192
65,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,45.619044
66,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,52.97237399999999
67,0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,50.82987
68,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,50.362559999999995
69,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,39.431132
70,0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,38.906000000000006
71,0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,49.45941
72,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,48.634496000000006
73,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,48.680775000000004
74,0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,49.593216000000005
75,0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,44.027682
76,0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,44.06179500000001
77,0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,43.137024000000004
78,0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,41.08846499999999
79,0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,42.34377
80,0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,41.208
81,0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,42.007107999999995
82,0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,41.455847999999996
83,0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,62.32348500000001
84,0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,43.94075
85,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,37.9358
86,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,38.746224
87,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,39.23519999999999
88,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,40.449288
89,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,51.420915
90,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,116.39627999999999
91,0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,143.71632
92,0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,113.1165
93,0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,115.865184
94,0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,126.43721999999998
95,0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,116.66069999999999
96,0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,111.82464
97,0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,151.837455
98,0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,118.728136
99,0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,129.571686
100,0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,121.7275
101,0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,128.0208
102,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,121.80869999999999
103,0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,121.59868499999999
104,0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,129.70821600000002
105,0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,123.58698
106,0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,126.48950999999998
107,0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,121.02055699999998
108,0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,135.05544
109,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,97.86488999999999
110,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,131.23919999999998
111,0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,122.61664
112,0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,145.89590400000003
113,0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,119.72147400000001
114,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,119.23128
115,0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,120.727
116,0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,130.71801600000003
117,0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,117.95097599999998
118,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,115.18675200000001
119,0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,132.060134
120,0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,116.06917200000001
121,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,122.40668000000001
122,0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,109.79218800000001
